any;comarca o Aran;edat;sexe;concepte;estat;valor
1981;Alt Camp;0 anys;homes;població;;264
1981;Alt Camp;0 anys;dones;població;;220
1981;Alt Camp;0 anys;total;població;;484
1981;Alt Camp;1 any;homes;població;;233
1981;Alt Camp;1 any;dones;població;;237
1981;Alt Camp;1 any;total;població;;470
1981;Alt Camp;2 anys;homes;població;;262
1981;Alt Camp;2 anys;dones;població;;248
1981;Alt Camp;2 anys;total;població;;510
1981;Alt Camp;3 anys;homes;població;;247
1981;Alt Camp;3 anys;dones;població;;228
1981;Alt Camp;3 anys;total;població;;475
1981;Alt Camp;4 anys;homes;població;;276
1981;Alt Camp;4 anys;dones;població;;263
1981;Alt Camp;4 anys;total;població;;539
1981;Alt Camp;5 anys;homes;població;;257
1981;Alt Camp;5 anys;dones;població;;258
1981;Alt Camp;5 anys;total;població;;515
1981;Alt Camp;6 anys;homes;població;;261
1981;Alt Camp;6 anys;dones;població;;242
1981;Alt Camp;6 anys;total;població;;503
1981;Alt Camp;7 anys;homes;població;;271
1981;Alt Camp;7 anys;dones;població;;236
1981;Alt Camp;7 anys;total;població;;507
1981;Alt Camp;8 anys;homes;població;;222
1981;Alt Camp;8 anys;dones;població;;230
1981;Alt Camp;8 anys;total;població;;452
1981;Alt Camp;9 anys;homes;població;;259
1981;Alt Camp;9 anys;dones;població;;248
1981;Alt Camp;9 anys;total;població;;507
1981;Alt Camp;10 anys;homes;població;;234
1981;Alt Camp;10 anys;dones;població;;207
1981;Alt Camp;10 anys;total;població;;441
1981;Alt Camp;11 anys;homes;població;;281
1981;Alt Camp;11 anys;dones;població;;225
1981;Alt Camp;11 anys;total;població;;506
1981;Alt Camp;12 anys;homes;població;;257
1981;Alt Camp;12 anys;dones;població;;193
1981;Alt Camp;12 anys;total;població;;450
1981;Alt Camp;13 anys;homes;població;;218
1981;Alt Camp;13 anys;dones;població;;256
1981;Alt Camp;13 anys;total;població;;474
1981;Alt Camp;14 anys;homes;població;;279
1981;Alt Camp;14 anys;dones;població;;239
1981;Alt Camp;14 anys;total;població;;518
1981;Alt Camp;15 anys;homes;població;;240
1981;Alt Camp;15 anys;dones;població;;262
1981;Alt Camp;15 anys;total;població;;502
1981;Alt Camp;16 anys;homes;població;;258
1981;Alt Camp;16 anys;dones;població;;230
1981;Alt Camp;16 anys;total;població;;488
1981;Alt Camp;17 anys;homes;població;;247
1981;Alt Camp;17 anys;dones;població;;220
1981;Alt Camp;17 anys;total;població;;467
1981;Alt Camp;18 anys;homes;població;;268
1981;Alt Camp;18 anys;dones;població;;242
1981;Alt Camp;18 anys;total;població;;510
1981;Alt Camp;19 anys;homes;població;;234
1981;Alt Camp;19 anys;dones;població;;256
1981;Alt Camp;19 anys;total;població;;490
1981;Alt Camp;20 anys;homes;població;;237
1981;Alt Camp;20 anys;dones;població;;255
1981;Alt Camp;20 anys;total;població;;492
1981;Alt Camp;21 anys;homes;població;;275
1981;Alt Camp;21 anys;dones;població;;241
1981;Alt Camp;21 anys;total;població;;516
1981;Alt Camp;22 anys;homes;població;;251
1981;Alt Camp;22 anys;dones;població;;237
1981;Alt Camp;22 anys;total;població;;488
1981;Alt Camp;23 anys;homes;població;;279
1981;Alt Camp;23 anys;dones;població;;251
1981;Alt Camp;23 anys;total;població;;530
1981;Alt Camp;24 anys;homes;població;;228
1981;Alt Camp;24 anys;dones;població;;235
1981;Alt Camp;24 anys;total;població;;463
1981;Alt Camp;25 anys;homes;població;;233
1981;Alt Camp;25 anys;dones;població;;227
1981;Alt Camp;25 anys;total;població;;460
1981;Alt Camp;26 anys;homes;població;;244
1981;Alt Camp;26 anys;dones;població;;221
1981;Alt Camp;26 anys;total;població;;465
1981;Alt Camp;27 anys;homes;població;;208
1981;Alt Camp;27 anys;dones;població;;206
1981;Alt Camp;27 anys;total;població;;414
1981;Alt Camp;28 anys;homes;població;;246
1981;Alt Camp;28 anys;dones;població;;231
1981;Alt Camp;28 anys;total;població;;477
1981;Alt Camp;29 anys;homes;població;;212
1981;Alt Camp;29 anys;dones;població;;204
1981;Alt Camp;29 anys;total;població;;416
1981;Alt Camp;30 anys;homes;població;;220
1981;Alt Camp;30 anys;dones;població;;193
1981;Alt Camp;30 anys;total;població;;413
1981;Alt Camp;31 anys;homes;població;;213
1981;Alt Camp;31 anys;dones;població;;181
1981;Alt Camp;31 anys;total;població;;394
1981;Alt Camp;32 anys;homes;població;;199
1981;Alt Camp;32 anys;dones;població;;212
1981;Alt Camp;32 anys;total;població;;411
1981;Alt Camp;33 anys;homes;població;;216
1981;Alt Camp;33 anys;dones;població;;203
1981;Alt Camp;33 anys;total;població;;419
1981;Alt Camp;34 anys;homes;població;;193
1981;Alt Camp;34 anys;dones;població;;180
1981;Alt Camp;34 anys;total;població;;373
1981;Alt Camp;35 anys;homes;població;;239
1981;Alt Camp;35 anys;dones;població;;184
1981;Alt Camp;35 anys;total;població;;423
1981;Alt Camp;36 anys;homes;població;;165
1981;Alt Camp;36 anys;dones;població;;194
1981;Alt Camp;36 anys;total;població;;359
1981;Alt Camp;37 anys;homes;població;;209
1981;Alt Camp;37 anys;dones;població;;200
1981;Alt Camp;37 anys;total;població;;409
1981;Alt Camp;38 anys;homes;població;;188
1981;Alt Camp;38 anys;dones;població;;171
1981;Alt Camp;38 anys;total;població;;359
1981;Alt Camp;39 anys;homes;població;;185
1981;Alt Camp;39 anys;dones;població;;163
1981;Alt Camp;39 anys;total;població;;348
1981;Alt Camp;40 anys;homes;població;;203
1981;Alt Camp;40 anys;dones;població;;199
1981;Alt Camp;40 anys;total;població;;402
1981;Alt Camp;41 anys;homes;població;;123
1981;Alt Camp;41 anys;dones;població;;100
1981;Alt Camp;41 anys;total;població;;223
1981;Alt Camp;42 anys;homes;població;;119
1981;Alt Camp;42 anys;dones;població;;103
1981;Alt Camp;42 anys;total;població;;222
1981;Alt Camp;43 anys;homes;població;;163
1981;Alt Camp;43 anys;dones;població;;164
1981;Alt Camp;43 anys;total;població;;327
1981;Alt Camp;44 anys;homes;població;;169
1981;Alt Camp;44 anys;dones;població;;180
1981;Alt Camp;44 anys;total;població;;349
1981;Alt Camp;45 anys;homes;població;;180
1981;Alt Camp;45 anys;dones;població;;170
1981;Alt Camp;45 anys;total;població;;350
1981;Alt Camp;46 anys;homes;població;;178
1981;Alt Camp;46 anys;dones;població;;198
1981;Alt Camp;46 anys;total;població;;376
1981;Alt Camp;47 anys;homes;població;;211
1981;Alt Camp;47 anys;dones;població;;197
1981;Alt Camp;47 anys;total;població;;408
1981;Alt Camp;48 anys;homes;població;;186
1981;Alt Camp;48 anys;dones;població;;190
1981;Alt Camp;48 anys;total;població;;376
1981;Alt Camp;49 anys;homes;població;;184
1981;Alt Camp;49 anys;dones;població;;230
1981;Alt Camp;49 anys;total;població;;414
1981;Alt Camp;50 anys;homes;població;;202
1981;Alt Camp;50 anys;dones;població;;205
1981;Alt Camp;50 anys;total;població;;407
1981;Alt Camp;51 anys;homes;població;;196
1981;Alt Camp;51 anys;dones;població;;212
1981;Alt Camp;51 anys;total;població;;408
1981;Alt Camp;52 anys;homes;població;;228
1981;Alt Camp;52 anys;dones;població;;203
1981;Alt Camp;52 anys;total;població;;431
1981;Alt Camp;53 anys;homes;població;;241
1981;Alt Camp;53 anys;dones;població;;209
1981;Alt Camp;53 anys;total;població;;450
1981;Alt Camp;54 anys;homes;població;;231
1981;Alt Camp;54 anys;dones;població;;208
1981;Alt Camp;54 anys;total;població;;439
1981;Alt Camp;55 anys;homes;població;;201
1981;Alt Camp;55 anys;dones;població;;208
1981;Alt Camp;55 anys;total;població;;409
1981;Alt Camp;56 anys;homes;població;;178
1981;Alt Camp;56 anys;dones;població;;232
1981;Alt Camp;56 anys;total;població;;410
1981;Alt Camp;57 anys;homes;població;;199
1981;Alt Camp;57 anys;dones;població;;202
1981;Alt Camp;57 anys;total;població;;401
1981;Alt Camp;58 anys;homes;població;;212
1981;Alt Camp;58 anys;dones;població;;214
1981;Alt Camp;58 anys;total;població;;426
1981;Alt Camp;59 anys;homes;població;;208
1981;Alt Camp;59 anys;dones;població;;202
1981;Alt Camp;59 anys;total;població;;410
1981;Alt Camp;60 anys;homes;població;;181
1981;Alt Camp;60 anys;dones;població;;233
1981;Alt Camp;60 anys;total;població;;414
1981;Alt Camp;61 anys;homes;població;;147
1981;Alt Camp;61 anys;dones;població;;169
1981;Alt Camp;61 anys;total;població;;316
1981;Alt Camp;62 anys;homes;població;;163
1981;Alt Camp;62 anys;dones;població;;211
1981;Alt Camp;62 anys;total;població;;374
1981;Alt Camp;63 anys;homes;població;;157
1981;Alt Camp;63 anys;dones;població;;177
1981;Alt Camp;63 anys;total;població;;334
1981;Alt Camp;64 anys;homes;població;;133
1981;Alt Camp;64 anys;dones;població;;155
1981;Alt Camp;64 anys;total;població;;288
1981;Alt Camp;65 anys;homes;població;;127
1981;Alt Camp;65 anys;dones;població;;181
1981;Alt Camp;65 anys;total;població;;308
1981;Alt Camp;66 anys;homes;població;;145
1981;Alt Camp;66 anys;dones;població;;179
1981;Alt Camp;66 anys;total;població;;324
1981;Alt Camp;67 anys;homes;població;;137
1981;Alt Camp;67 anys;dones;població;;172
1981;Alt Camp;67 anys;total;població;;309
1981;Alt Camp;68 anys;homes;població;;137
1981;Alt Camp;68 anys;dones;població;;189
1981;Alt Camp;68 anys;total;població;;326
1981;Alt Camp;69 anys;homes;població;;139
1981;Alt Camp;69 anys;dones;població;;179
1981;Alt Camp;69 anys;total;població;;318
1981;Alt Camp;70 anys;homes;població;;133
1981;Alt Camp;70 anys;dones;població;;160
1981;Alt Camp;70 anys;total;població;;293
1981;Alt Camp;71 anys;homes;població;;94
1981;Alt Camp;71 anys;dones;població;;165
1981;Alt Camp;71 anys;total;població;;259
1981;Alt Camp;72 anys;homes;població;;131
1981;Alt Camp;72 anys;dones;població;;160
1981;Alt Camp;72 anys;total;població;;291
1981;Alt Camp;73 anys;homes;població;;119
1981;Alt Camp;73 anys;dones;població;;132
1981;Alt Camp;73 anys;total;població;;251
1981;Alt Camp;74 anys;homes;població;;101
1981;Alt Camp;74 anys;dones;població;;139
1981;Alt Camp;74 anys;total;població;;240
1981;Alt Camp;75 anys;homes;població;;109
1981;Alt Camp;75 anys;dones;població;;128
1981;Alt Camp;75 anys;total;població;;237
1981;Alt Camp;76 anys;homes;població;;101
1981;Alt Camp;76 anys;dones;població;;131
1981;Alt Camp;76 anys;total;població;;232
1981;Alt Camp;77 anys;homes;població;;82
1981;Alt Camp;77 anys;dones;població;;128
1981;Alt Camp;77 anys;total;població;;210
1981;Alt Camp;78 anys;homes;població;;91
1981;Alt Camp;78 anys;dones;població;;126
1981;Alt Camp;78 anys;total;població;;217
1981;Alt Camp;79 anys;homes;població;;69
1981;Alt Camp;79 anys;dones;població;;109
1981;Alt Camp;79 anys;total;població;;178
1981;Alt Camp;80 anys;homes;població;;80
1981;Alt Camp;80 anys;dones;població;;119
1981;Alt Camp;80 anys;total;població;;199
1981;Alt Camp;81 anys;homes;població;;53
1981;Alt Camp;81 anys;dones;població;;86
1981;Alt Camp;81 anys;total;població;;139
1981;Alt Camp;82 anys;homes;població;;38
1981;Alt Camp;82 anys;dones;població;;62
1981;Alt Camp;82 anys;total;població;;100
1981;Alt Camp;83 anys;homes;població;;43
1981;Alt Camp;83 anys;dones;població;;64
1981;Alt Camp;83 anys;total;població;;107
1981;Alt Camp;84 anys;homes;població;;46
1981;Alt Camp;84 anys;dones;població;;50
1981;Alt Camp;84 anys;total;població;;96
1981;Alt Camp;85 anys;homes;població;;44
1981;Alt Camp;85 anys;dones;població;;43
1981;Alt Camp;85 anys;total;població;;87
1981;Alt Camp;86 anys;homes;població;;28
1981;Alt Camp;86 anys;dones;població;;34
1981;Alt Camp;86 anys;total;població;;62
1981;Alt Camp;87 anys;homes;població;;16
1981;Alt Camp;87 anys;dones;població;;25
1981;Alt Camp;87 anys;total;població;;41
1981;Alt Camp;88 anys;homes;població;;11
1981;Alt Camp;88 anys;dones;població;;23
1981;Alt Camp;88 anys;total;població;;34
1981;Alt Camp;89 anys;homes;població;;15
1981;Alt Camp;89 anys;dones;població;;17
1981;Alt Camp;89 anys;total;població;;32
1981;Alt Camp;90 anys;homes;població;;7
1981;Alt Camp;90 anys;dones;població;;11
1981;Alt Camp;90 anys;total;població;;18
1981;Alt Camp;91 anys;homes;població;;3
1981;Alt Camp;91 anys;dones;població;;8
1981;Alt Camp;91 anys;total;població;;11
1981;Alt Camp;92 anys;homes;població;;6
1981;Alt Camp;92 anys;dones;població;;6
1981;Alt Camp;92 anys;total;població;;12
1981;Alt Camp;93 anys;homes;població;;3
1981;Alt Camp;93 anys;dones;població;;4
1981;Alt Camp;93 anys;total;població;;7
1981;Alt Camp;94 anys;homes;població;;0
1981;Alt Camp;94 anys;dones;població;;5
1981;Alt Camp;94 anys;total;població;;5
1981;Alt Camp;95 anys;homes;població;;1
1981;Alt Camp;95 anys;dones;població;;2
1981;Alt Camp;95 anys;total;població;;3
1981;Alt Camp;96 anys;homes;població;;0
1981;Alt Camp;96 anys;dones;població;;3
1981;Alt Camp;96 anys;total;població;;3
1981;Alt Camp;97 anys;homes;població;;1
1981;Alt Camp;97 anys;dones;població;;1
1981;Alt Camp;97 anys;total;població;;2
1981;Alt Camp;98 anys;homes;població;;0
1981;Alt Camp;98 anys;dones;població;;0
1981;Alt Camp;98 anys;total;població;;0
1981;Alt Camp;99 anys o més;homes;població;;1
1981;Alt Camp;99 anys o més;dones;població;;2
1981;Alt Camp;99 anys o més;total;població;;3
1981;Alt Camp;No hi consta;homes;població;;18
1981;Alt Camp;No hi consta;dones;població;;15
1981;Alt Camp;No hi consta;total;població;;33
1981;Alt Camp;total;homes;població;;16230
1981;Alt Camp;total;dones;població;;16558
1981;Alt Camp;total;total;població;;32788
1981;Alt Empordà;0 anys;homes;població;;612
1981;Alt Empordà;0 anys;dones;població;;548
1981;Alt Empordà;0 anys;total;població;;1160
1981;Alt Empordà;1 any;homes;població;;669
1981;Alt Empordà;1 any;dones;població;;611
1981;Alt Empordà;1 any;total;població;;1280
1981;Alt Empordà;2 anys;homes;població;;638
1981;Alt Empordà;2 anys;dones;població;;618
1981;Alt Empordà;2 anys;total;població;;1256
1981;Alt Empordà;3 anys;homes;població;;699
1981;Alt Empordà;3 anys;dones;població;;598
1981;Alt Empordà;3 anys;total;població;;1297
1981;Alt Empordà;4 anys;homes;població;;690
1981;Alt Empordà;4 anys;dones;població;;611
1981;Alt Empordà;4 anys;total;població;;1301
1981;Alt Empordà;5 anys;homes;població;;698
1981;Alt Empordà;5 anys;dones;població;;627
1981;Alt Empordà;5 anys;total;població;;1325
1981;Alt Empordà;6 anys;homes;població;;692
