"Curs";"Nom ensenyament";"Nivell";"Nom comarca";"Nombre grups";"Nombre places";"Places ofertades a la preinscripció";"Assignacions";"Assignacions: 1a peticio";"Assignacions: Altres peticions";"Places vacants";"Places ocupades";"Nombre centres";"any";"edat";"dones";"homes";"total"
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Camp";21;582;582;391;389;2;191;391;27;2016;2;250;211;461
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Empordà";69;1527;1527;1282;1208;74;247;1282;68;2016;2;705;765;1470
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Penedès";54;1211;1208;1062;1009;53;147;1065;47;2016;2;576;611;1187
"2017/2018";"Educació infantil: Parvulari";"1";"Alt Urgell";6;190;188;156;150;6;33;158;12;2016;2;81;91;172
"2017/2018";"Educació infantil: Parvulari";"1";"Alta Ribagorça";2;38;36;23;23;0;13;25;3;2016;2;18;24;42
"2017/2018";"Educació infantil: Parvulari";"1";"Anoia";60;1501;1501;1102;1064;38;401;1102;47;2016;2;651;680;1331
"2017/2018";"Educació infantil: Parvulari";"1";"Aran";6;128;128;98;94;4;30;98;7;2016;2;46;42;88
"2017/2018";"Educació infantil: Parvulari";"1";"Bages";81;2027;2027;1664;1603;61;363;1664;62;2016;2;886;965;1851
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Camp";88;2219;2217;1889;1801;88;329;1891;61;2016;2;996;1044;2040
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Ebre";34;900;900;658;644;14;242;658;32;2016;2;362;386;748
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Empordà";63;1359;1358;1124;1042;82;240;1125;44;2016;2;644;700;1344
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Llobregat";333;8247;8239;7634;7063;571;610;7642;211;2016;2;4126;4269;8395
"2017/2018";"Educació infantil: Parvulari";"1";"Baix Penedès";44;1101;1100;912;875;37;188;913;29;2016;2;513;575;1088
"2017/2018";"Educació infantil: Parvulari";"1";"Barcelonès";818;20145;20123;18183;16747;1436;1947;18205;483;2016;2;9428;9901;19329
"2017/2018";"Educació infantil: Parvulari";"1";"Berguedà";17;444;444;296;290;6;148;296;23;2016;2;163;161;324
"2017/2018";"Educació infantil: Parvulari";"1";"Cerdanya";8;192;192;137;127;10;56;137;13;2016;2;74;78;152
"2017/2018";"Educació infantil: Parvulari";"1";"Conca de Barberà";9;265;265;171;170;1;94;171;14;2016;2;81;106;187
"2017/2018";"Educació infantil: Parvulari";"1";"Garraf";54;1343;1342;1228;1131;97;115;1229;34;2016;2;739;740;1479
"2017/2018";"Educació infantil: Parvulari";"1";"Garrigues";6;192;192;134;134;0;58;134;17;2016;2;72;70;142
"2017/2018";"Educació infantil: Parvulari";"1";"Garrotxa";29;648;648;480;465;15;170;480;24;2016;2;299;293;592
"2017/2018";"Educació infantil: Parvulari";"1";"Gironès";104;2402;2402;2128;2035;93;280;2128;62;2016;2;1123;1132;2255
"2017/2018";"Educació infantil: Parvulari";"1";"Maresme";189;4687;4677;4066;3817;249;612;4076;122;2016;2;2216;2383;4599
"2017/2018";"Educació infantil: Parvulari";"1";"Moianès";6;179;179;93;93;0;86;93;10;2016;2;78;67;145
"2017/2018";"Educació infantil: Parvulari";"1";"Montsià";27;726;726;558;547;11;168;558;21;2016;2;273;315;588
"2017/2018";"Educació infantil: Parvulari";"1";"Noguera";15;396;396;324;323;1;72;324;33;2016;2;191;180;371
"2017/2018";"Educació infantil: Parvulari";"1";"Osona";81;1984;1983;1572;1484;88;411;1573;66;2016;2;801;907;1708
"2017/2018";"Educació infantil: Parvulari";"1";"Pallars Jussà";5;142;142;93;93;0;49;93;7;2016;2;50;62;112
"2017/2018";"Educació infantil: Parvulari";"1";"Pallars Sobirà";2;43;43;37;37;0;6;37;7;2016;2;31;34;65
"2017/2018";"Educació infantil: Parvulari";"1";"Pla d'Urgell";21;519;519;390;367;23;131;390;19;2016;2;201;185;386
"2017/2018";"Educació infantil: Parvulari";"1";"Pla de l'Estany";18;368;368;336;318;18;32;336;12;2016;2;176;196;372
"2017/2018";"Educació infantil: Parvulari";"1";"Priorat";3;154;154;69;69;0;85;69;15;2016;2;38;38;76
"2017/2018";"Educació infantil: Parvulari";"1";"Ribera d'Ebre";10;306;306;160;160;0;146;160;16;2016;2;96;109;205
"2017/2018";"Educació infantil: Parvulari";"1";"Ripollès";9;218;218;154;144;10;64;154;14;2016;2;115;119;234
"2017/2018";"Educació infantil: Parvulari";"1";"Segarra";12;273;273;215;201;14;58;215;12;2016;2;141;136;277
"2017/2018";"Educació infantil: Parvulari";"1";"Segrià";94;2369;2363;1978;1872;106;388;1984;81;2016;2;984;1098;2082
"2017/2018";"Educació infantil: Parvulari";"1";"Selva";71;1727;1724;1444;1379;65;281;1447;45;2016;2;778;905;1683
"2017/2018";"Educació infantil: Parvulari";"1";"Solsonès";6;168;168;112;107;5;56;112;11;2016;2;63;69;132
"2017/2018";"Educació infantil: Parvulari";"1";"Tarragonès";118;2913;2912;2485;2371;114;428;2486;68;2016;2;1262;1408;2670
"2017/2018";"Educació infantil: Parvulari";"1";"Terra Alta";6;196;196;71;71;0;125;71;12;2016;2;48;41;89
"2017/2018";"Educació infantil: Parvulari";"1";"Urgell";20;458;458;361;338;23;97;361;23;2016;2;182;190;372
"2017/2018";"Educació infantil: Parvulari";"1";"Vallès Occidental";400;9879;9876;9095;8629;466;796;9098;239;2016;2;4872;5171;10043
"2017/2018";"Educació infantil: Parvulari";"1";"Vallès Oriental";175;4343;4337;3781;3571;210;562;3787;119;2016;2;2043;2179;4222
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Camp";17;521;111;3;3;0;108;413;26;2016;3;224;242;466
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Empordà";64;1473;135;24;18;6;111;1362;68;2016;3;800;793;1593
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Penedès";56;1239;158;13;12;1;145;1094;47;2016;3;643;681;1324
"2017/2018";"Educació infantil: Parvulari";"2";"Alt Urgell";8;173;15;0;0;0;15;158;12;2016;3;92;92;184
"2017/2018";"Educació infantil: Parvulari";"2";"Alta Ribagorça";1;33;6;1;1;0;5;28;3;2016;3;16;13;29
"2017/2018";"Educació infantil: Parvulari";"2";"Anoia";57;1469;297;17;15;2;281;1189;47;2016;3;636;665;1301
"2017/2018";"Educació infantil: Parvulari";"2";"Aran";2;83;6;2;2;0;4;79;7;2016;3;50;43;93
"2017/2018";"Educació infantil: Parvulari";"2";"Bages";79;1972;319;23;16;7;297;1676;61;2016;3;952;1037;1989
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Camp";87;2166;317;39;29;10;279;1888;61;2016;3;1107;1127;2234
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Ebre";30;865;160;13;7;6;147;718;32;2016;3;350;413;763
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Empordà";58;1318;117;30;26;4;94;1231;44;2016;3;652;731;1383
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Llobregat";318;7946;548;122;92;30;429;7520;207;2016;3;4376;4696;9072
"2017/2018";"Educació infantil: Parvulari";"2";"Baix Penedès";41;1014;102;20;16;4;82;932;29;2016;3;576;632;1208
"2017/2018";"Educació infantil: Parvulari";"2";"Barcelonès";782;19328;1389;363;250;113;1027;18302;469;2016;3;9793;10321;20114
"2017/2018";"Educació infantil: Parvulari";"2";"Berguedà";12;321;68;2;2;0;66;255;20;2016;3;168;194;362
"2017/2018";"Educació infantil: Parvulari";"2";"Cerdanya";5;165;52;4;4;0;48;117;13;2016;3;76;93;169
"2017/2018";"Educació infantil: Parvulari";"2";"Conca de Barberà";8;253;82;3;3;0;79;174;14;2016;3;91;102;193
"2017/2018";"Educació infantil: Parvulari";"2";"Garraf";50;1250;86;21;11;10;66;1185;33;2016;3;765;845;1610
"2017/2018";"Educació infantil: Parvulari";"2";"Garrigues";7;181;56;0;0;0;56;125;17;2016;3;87;97;184
"2017/2018";"Educació infantil: Parvulari";"2";"Garrotxa";25;565;44;11;10;1;35;532;24;2016;3;295;302;597
"2017/2018";"Educació infantil: Parvulari";"2";"Gironès";98;2200;137;52;37;15;97;2115;62;2016;3;1099;1256;2355
"2017/2018";"Educació infantil: Parvulari";"2";"Maresme";182;4516;493;64;53;11;431;4087;119;2016;3;2353;2532;4885
"2017/2018";"Educació infantil: Parvulari";"2";"Moianès";6;167;39;1;1;0;39;129;10;2016;3;66;102;168
"2017/2018";"Educació infantil: Parvulari";"2";"Montsià";24;664;138;8;6;2;130;534;21;2016;3;327;344;671
"2017/2018";"Educació infantil: Parvulari";"2";"Noguera";16;413;72;1;0;1;71;342;33;2016;3;181;226;407
"2017/2018";"Educació infantil: Parvulari";"2";"Osona";71;1844;333;12;12;0;321;1523;66;2016;3;906;974;1880
"2017/2018";"Educació infantil: Parvulari";"2";"Pallars Jussà";5;140;36;2;2;0;35;106;7;2016;3;52;64;116
"2017/2018";"Educació infantil: Parvulari";"2";"Pallars Sobirà";2;60;0;0;0;0;0;60;7;2016;3;28;34;62
"2017/2018";"Educació infantil: Parvulari";"2";"Pla d'Urgell";18;468;79;6;5;1;73;395;19;2016;3;211;224;435
"2017/2018";"Educació infantil: Parvulari";"2";"Pla de l'Estany";15;336;5;0;0;0;5;331;12;2016;3;183;214;397
"2017/2018";"Educació infantil: Parvulari";"2";"Priorat";2;142;80;1;1;0;79;63;15;2016;3;38;29;67
"2017/2018";"Educació infantil: Parvulari";"2";"Ribera d'Ebre";8;295;96;1;1;0;95;200;16;2016;3;105;100;205
"2017/2018";"Educació infantil: Parvulari";"2";"Ripollès";10;225;20;1;1;0;20;206;14;2016;3;111;125;236
"2017/2018";"Educació infantil: Parvulari";"2";"Segarra";11;282;37;6;6;0;31;251;12;2016;3;121;136;257
"2017/2018";"Educació infantil: Parvulari";"2";"Segrià";91;2267;312;32;28;4;280;1987;81;2016;3;1114;1112;2226
"2017/2018";"Educació infantil: Parvulari";"2";"Selva";70;1552;122;23;17;6;101;1453;45;2016;3;887;896;1783
"2017/2018";"Educació infantil: Parvulari";"2";"Solsonès";5;152;26;3;3;0;23;129;11;2016;3;59;60;119
"2017/2018";"Educació infantil: Parvulari";"2";"Tarragonès";109;2630;260;30;21;9;231;2400;67;2016;3;1396;1469;2865
"2017/2018";"Educació infantil: Parvulari";"2";"Terra Alta";3;160;80;2;1;1;78;82;12;2016;3;40;56;96
"2017/2018";"Educació infantil: Parvulari";"2";"Urgell";17;446;83;7;3;4;76;370;23;2016;3;216;195;411
"2017/2018";"Educació infantil: Parvulari";"2";"Vallès Occidental";390;9686;590;181;133;48;421;9277;238;2016;3;5289;5513;10802
"2017/2018";"Educació infantil: Parvulari";"2";"Vallès Oriental";175;4326;448;72;50;22;380;3950;119;2016;3;2152;2403;4555
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Camp";29;555;121;5;5;0;116;439;27;2016;4;276;248;524
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Empordà";88;1559;121;22;15;7;103;1460;68;2016;4;790;826;1616
"2017/2018";"Educació infantil: Parvulari";"3";"Alt Penedès";64;1303;111;21;15;6;92;1213;47;2016;4;679;682;1361
